	sender_userid	recipient_userid	dt
396	608414	640020	2017-08-16T13:33:03.0000000
397	540010	641776	2017-08-16T13:32:55.0000000
398	637160	546013	2017-08-16T13:32:54.0000000
399	641278	600057	2017-08-16T13:32:53.0000000
400	29888	628491	2017-08-16T13:32:51.0000000
401	2	641900	2017-08-16T13:32:51.0000000
402	100630	638853	2017-08-16T13:32:50.0000000
403	239904	641864	2017-08-16T13:32:49.0000000
404	640436	640121	2017-08-16T13:32:49.0000000
405	100630	638853	2017-08-16T13:32:45.0000000
406	608414	640845	2017-08-16T13:32:41.0000000
407	616357	495872	2017-08-16T13:32:40.0000000
408	399089	597728	2017-08-16T13:32:38.0000000
409	637273	562865	2017-08-16T13:32:34.0000000
410	556947	567375	2017-08-16T13:32:28.0000000
411	640436	624902	2017-08-16T13:32:27.0000000
412	539668	641776	2017-08-16T13:32:20.0000000
413	540010	637160	2017-08-16T13:32:18.0000000
414	641343	619850	2017-08-16T13:32:18.0000000
415	597728	399089	2017-08-16T13:32:16.0000000
416	539668	641776	2017-08-16T13:32:14.0000000
417	562865	637273	2017-08-16T13:32:14.0000000
418	637160	546013	2017-08-16T13:32:11.0000000
419	2	641903	2017-08-16T13:32:09.0000000
420	553808	637596	2017-08-16T13:32:07.0000000
421	553063	639138	2017-08-16T13:31:59.0000000
422	576003	509219	2017-08-16T13:31:51.0000000
423	584895	639138	2017-08-16T13:31:51.0000000
424	540010	637160	2017-08-16T13:31:48.0000000
425	639138	553063	2017-08-16T13:31:48.0000000
426	576003	509219	2017-08-16T13:31:45.0000000
427	639138	553063	2017-08-16T13:31:44.0000000
428	2	641902	2017-08-16T13:31:41.0000000
429	576003	509219	2017-08-16T13:31:35.0000000
430	641095	2	2017-08-16T13:31:34.0000000
431	553063	639138	2017-08-16T13:31:32.0000000
432	576003	509219	2017-08-16T13:31:29.0000000
433	581934	640781	2017-08-16T13:31:25.0000000
434	637160	540010	2017-08-16T13:31:23.0000000
435	639138	553063	2017-08-16T13:31:21.0000000
436	576003	509219	2017-08-16T13:31:20.0000000
437	629653	84056	2017-08-16T13:31:13.0000000
438	239904	641776	2017-08-16T13:31:13.0000000
439	239904	641776	2017-08-16T13:31:12.0000000
440	639138	584895	2017-08-16T13:31:06.0000000
441	557134	641864	2017-08-16T13:31:05.0000000
442	540010	641864	2017-08-16T13:31:03.0000000
443	628491	29888	2017-08-16T13:30:58.0000000
444	639138	87386	2017-08-16T13:30:48.0000000
445	84056	629653	2017-08-16T13:30:44.0000000
446	637273	562865	2017-08-16T13:30:42.0000000
447	637160	548832	2017-08-16T13:30:35.0000000
448	509219	576003	2017-08-16T13:30:31.0000000
449	540010	637160	2017-08-16T13:30:28.0000000
450	636333	641211	2017-08-16T13:30:26.0000000
451	509219	576003	2017-08-16T13:30:26.0000000
452	553063	639138	2017-08-16T13:30:26.0000000
453	399089	437329	2017-08-16T13:30:21.0000000
454	548832	637160	2017-08-16T13:30:20.0000000
455	553063	639138	2017-08-16T13:30:15.0000000
456	29888	628491	2017-08-16T13:30:15.0000000
457	553063	639138	2017-08-16T13:30:14.0000000
458	509219	576003	2017-08-16T13:30:08.0000000
459	584533	641864	2017-08-16T13:30:07.0000000
460	556947	639857	2017-08-16T13:30:07.0000000
461	637160	548832	2017-08-16T13:30:02.0000000
462	551351	641864	2017-08-16T13:30:00.0000000
463	562865	637273	2017-08-16T13:30:00.0000000
464	562865	612059	2017-08-16T13:29:49.0000000
465	639138	99443	2017-08-16T13:29:47.0000000
466	629653	84056	2017-08-16T13:29:45.0000000
